Start,End
00:12:30.833,00:12:34.750
00:12:34.750,00:12:42.000
00:12:42.000,00:12:49.875
00:12:49.875,00:12:51.083
00:12:51.083,00:12:53.083
00:12:53.083,00:12:55.000
00:12:55.000,00:13:01.583
00:13:01.583,00:13:10.958
00:13:10.958,00:13:13.208
00:13:13.208,00:13:31.833
00:13:31.833,00:13:33.500
00:13:33.500,00:13:56.125
00:13:56.125,00:13:58.208
00:13:58.208,00:14:13.958
00:14:13.958,00:14:15.500
00:14:15.500,00:14:21.958
00:14:21.958,00:14:22.583
00:14:22.583,00:14:24.708
00:14:24.708,00:14:38.458
00:14:38.458,00:14:40.750
00:14:40.750,00:14:52.083
00:14:52.083,00:14:53.583
00:14:53.583,00:15:21.375
00:15:21.375,00:15:26.583
00:15:26.583,00:15:27.958
00:15:27.958,00:15:30.083
00:15:30.083,00:15:31.208
00:15:31.208,00:15:32.083
00:15:32.083,00:15:36.583
00:15:36.583,00:15:38.583
00:15:38.583,00:15:40.625
00:15:40.625,00:15:55.958
00:15:55.958,00:15:59.958
00:15:59.958,00:16:02.833
00:16:02.833,00:16:08.625
00:16:08.625,00:16:11.125
00:16:11.125,00:16:12.375
00:16:12.375,00:16:14.833
00:16:14.833,00:16:18.333
00:16:18.333,00:16:21.833
00:16:21.833,00:16:23.750
00:16:23.750,00:16:29.208
00:16:29.208,00:16:31.958
00:16:31.958,00:16:43.708
00:16:43.708,00:16:46.083
00:16:46.083,00:16:49.208
00:16:49.208,00:16:50.958
00:16:50.958,00:16:53.333
00:16:53.333,00:16:55.500
00:16:55.500,00:17:03.208
00:17:03.208,00:17:10.333
00:17:10.333,00:17:13.583
00:17:13.583,00:17:25.500
00:17:25.500,00:17:29.208
00:17:29.208,00:17:30.208
00:17:30.208,00:17:36.125
00:17:36.125,00:17:42.708
00:17:42.708,00:17:46.583
00:17:46.583,00:17:48.458
00:17:48.458,00:17:50.875
00:17:50.875,00:17:52.333
00:17:52.333,00:17:54.708
00:17:54.708,00:17:56.708
00:17:56.708,00:18:01.333
00:18:01.333,00:18:04.042
00:18:04.042,00:18:05.500
00:18:05.500,00:18:06.458
00:18:06.458,00:18:07.375
00:18:07.375,00:18:08.375
00:18:08.375,00:18:09.333
00:18:09.333,00:18:11.458
00:18:11.458,00:18:19.083
00:18:19.083,00:18:20.708
00:18:20.708,00:18:21.833
00:18:21.833,00:18:22.625
00:18:22.625,00:18:23.583
00:18:23.583,00:18:24.583
00:18:24.583,00:18:25.625
00:18:25.625,00:18:26.708
00:18:26.708,00:18:27.583
00:18:27.583,00:18:28.208
00:18:28.208,00:18:29.292
00:18:29.292,00:18:30.333
00:18:30.333,00:18:32.333
00:18:32.333,00:18:33.083
00:18:33.083,00:18:34.000
00:18:34.000,00:18:35.583
00:18:35.583,00:18:36.250
00:18:36.250,00:18:38.500
00:18:38.500,00:18:39.583
00:18:39.583,00:18:42.542
00:18:42.542,00:18:43.208
00:18:43.208,00:18:44.333
00:18:44.333,00:18:45.250
00:18:45.250,00:18:47.083
00:18:47.083,00:18:47.958
