Start,End
00:25:48.120,00:25:49.640
00:25:49.640,00:25:59.160
00:25:59.160,00:26:00.360
00:26:00.360,00:26:01.280
00:26:01.280,00:26:02.200
00:26:02.200,00:26:04.000
00:26:04.000,00:26:07.960
00:26:07.960,00:26:23.200
00:26:23.200,00:26:27.000
00:26:27.000,00:26:28.960
00:26:28.960,00:26:31.200
00:26:31.200,00:26:32.480
00:26:32.480,00:26:33.400
00:26:33.400,00:26:34.720
00:26:34.720,00:26:39.720
00:26:39.720,00:26:43.600
00:26:43.600,00:26:48.080
00:26:48.080,00:26:52.480
00:26:52.480,00:26:53.120
00:26:53.120,00:27:18.560
00:27:18.560,00:27:28.200
00:27:28.200,00:27:33.400
00:27:33.400,00:27:35.920
00:27:35.920,00:27:38.000
00:27:38.000,00:27:40.360
00:27:40.360,00:27:41.840
00:27:41.840,00:27:47.720
00:27:47.720,00:27:53.160
00:27:53.160,00:27:59.800
00:27:59.800,00:28:00.800
00:28:00.800,00:28:03.000
00:28:03.000,00:28:03.920
00:28:03.920,00:28:04.920
00:28:04.920,00:28:05.720
00:28:05.720,00:28:07.440
00:28:07.440,00:28:09.880
00:28:09.880,00:28:12.720
00:28:12.720,00:28:16.280
00:28:16.280,00:28:20.640
00:28:20.640,00:28:22.080
00:28:22.080,00:28:23.400
00:28:23.400,00:28:27.160
00:28:27.160,00:28:36.440
00:28:36.440,00:28:37.680
00:28:37.680,00:28:38.760
00:28:38.760,00:28:41.560
00:28:41.560,00:28:43.040
00:28:43.040,00:28:44.640
00:28:44.640,00:28:46.280
00:28:46.280,00:28:49.240
00:28:49.240,00:28:52.000
00:28:52.000,00:28:54.640
00:28:54.640,00:28:57.240
00:28:57.240,00:28:59.720
00:28:59.720,00:29:10.600
00:29:10.600,00:29:24.960
00:29:24.960,00:29:26.760
00:29:26.760,00:29:37.760
00:29:37.760,00:29:42.520
00:29:42.520,00:29:45.280
00:29:45.280,00:29:48.080
00:29:48.080,00:29:54.360
00:29:54.360,00:29:57.160
00:29:57.160,00:30:00.680
00:30:00.680,00:30:16.520
00:30:16.520,00:30:59.840
00:30:59.840,00:31:00.840
00:31:00.840,00:31:03.480
00:31:03.480,00:31:22.480
00:31:22.480,00:31:27.520
00:31:27.520,00:31:32.000
00:31:32.000,00:32:23.440
00:32:23.440,00:32:28.800
00:32:28.800,00:32:36.720
00:32:36.720,00:32:41.240
00:32:41.240,00:32:45.680
00:32:45.680,00:32:48.240
00:32:48.240,00:32:53.360
00:32:53.360,00:33:11.360
00:33:11.360,00:33:17.080
00:33:17.080,00:33:19.120
00:33:19.120,00:33:21.640
00:33:21.640,00:33:26.000
00:33:26.000,00:33:28.320
00:33:28.320,00:33:29.760
00:33:29.760,00:33:31.360
00:33:31.360,00:33:32.200
00:33:32.200,00:33:33.000
00:33:33.000,00:33:34.680
00:33:34.680,00:33:48.240
00:33:48.240,00:33:49.480
00:33:49.480,00:33:52.200
00:33:52.200,00:33:54.200
00:33:54.200,00:33:56.120
00:33:56.120,00:34:09.360
00:34:09.360,00:34:25.760
00:34:25.760,00:34:44.560
00:34:44.560,00:34:50.400
00:34:50.400,00:35:00.200
00:35:00.200,00:35:15.360
00:35:15.360,00:35:27.960
00:35:27.960,00:35:33.280
00:35:33.280,00:35:44.320
00:35:44.320,00:35:46.560
00:35:46.560,00:35:48.080
00:35:48.080,00:35:52.000
00:35:52.000,00:36:02.320
00:36:02.320,00:36:09.200
00:36:09.200,00:36:18.320
00:36:18.320,00:36:19.640
00:36:19.640,00:36:24.400
00:36:24.400,00:36:25.040
00:36:25.040,00:36:27.680
00:36:27.680,00:36:28.480
00:36:28.480,00:36:29.160
00:36:29.160,00:36:30.920
00:36:30.920,00:36:40.760
00:36:40.760,00:37:33.320
00:37:33.320,00:37:52.680
00:37:52.680,00:37:55.520
00:37:55.520,00:38:18.360
00:38:18.360,00:38:41.840
00:38:41.840,00:38:45.280
00:38:45.280,00:38:47.760
00:38:47.760,00:39:03.920
00:39:03.920,00:39:25.080
00:39:25.080,00:39:28.240
00:39:28.240,00:39:29.600
00:39:29.600,00:39:31.880
00:39:31.880,00:39:35.200
00:39:35.200,00:39:36.680
00:39:36.680,00:39:38.040
00:39:38.040,00:39:45.880
00:39:45.880,00:39:58.920
00:39:58.920,00:40:09.960
00:40:09.960,00:40:17.840
00:40:17.840,00:40:26.400
00:40:26.400,00:40:27.520
00:40:27.520,00:40:29.400
00:40:29.400,00:40:30.920
00:40:30.920,00:40:31.600
00:40:31.600,00:40:32.560
00:40:32.560,00:40:33.560
00:40:33.560,00:40:36.640
00:40:36.640,00:40:38.440
00:40:38.440,00:40:40.920
00:40:40.920,00:40:41.840
00:40:41.840,00:40:43.000
00:40:43.000,00:40:43.960
00:40:43.960,00:40:45.920
00:40:45.920,00:40:56.760
00:40:56.760,00:40:58.760
00:40:58.760,00:41:00.560
00:41:00.560,00:41:02.520
00:41:02.520,00:41:04.240
00:41:04.240,00:41:05.920
00:41:05.920,00:41:07.280
00:41:07.280,00:41:11.640
00:41:11.640,00:41:12.960
00:41:12.960,00:41:26.640
00:41:26.640,00:41:29.240
00:41:29.240,00:41:31.360
00:41:31.360,00:41:36.520
00:41:36.520,00:41:40.640
00:41:40.640,00:42:23.840
00:42:23.840,00:43:15.680
00:43:15.680,00:43:23.960
00:43:23.960,00:43:25.520
00:43:25.520,00:43:28.960
00:43:28.960,00:43:30.520
00:43:30.520,00:43:32.200
00:43:32.200,00:43:33.880
00:43:33.880,00:43:44.920
00:43:44.920,00:43:57.120
00:43:57.120,00:43:59.600
00:43:59.600,00:44:04.120
00:44:04.120,00:44:06.600
00:44:06.600,00:44:22.840
00:44:22.840,00:44:27.800
00:44:27.800,00:44:32.840
00:44:32.840,00:44:43.920
00:44:43.920,00:45:12.160
00:45:12.160,00:45:34.800
00:45:34.800,00:45:44.880
00:45:44.880,00:45:46.720
00:45:46.720,00:45:48.120
00:45:48.120,00:45:53.280
00:45:53.280,00:46:00.880
00:46:00.880,00:46:46.840
00:46:46.840,00:46:49.600
00:46:49.600,00:46:55.280
00:46:55.280,00:46:57.240
00:46:57.240,00:47:00.000
00:47:00.000,00:47:00.840
00:47:00.840,00:47:03.080
00:47:03.080,00:47:10.560
00:47:10.560,00:47:14.400
00:47:14.400,00:47:15.760
00:47:15.760,00:47:17.520
00:47:17.520,00:47:18.840
00:47:18.840,00:47:20.480
00:47:20.480,00:47:22.040
00:47:22.040,00:47:23.440
00:47:23.440,00:47:30.440
00:47:30.440,00:47:31.720
00:47:31.720,00:47:38.160
00:47:38.160,00:47:40.040
00:47:40.040,00:47:45.920
00:47:45.920,00:47:48.320
00:47:48.320,00:47:49.200
00:47:49.200,00:47:52.440
00:47:52.440,00:47:58.640
00:47:58.640,00:48:02.920
00:48:02.920,00:48:04.160
00:48:04.160,00:48:09.160
00:48:09.160,00:48:15.560
00:48:15.560,00:48:17.400
00:48:17.400,00:48:20.640
00:48:20.640,00:48:21.840
00:48:21.840,00:48:45.880
00:48:45.880,00:48:56.520
00:48:56.520,00:49:02.880
00:49:02.880,00:49:08.680
00:49:08.680,00:49:12.360
00:49:12.360,00:49:20.360
00:49:20.360,00:49:37.240
00:49:37.240,00:49:38.600
00:49:38.600,00:49:44.080
00:49:44.080,00:49:46.000
00:49:46.000,00:50:07.040
00:50:07.040,00:50:22.920
00:50:22.920,00:50:29.240
