Start,End
00:21:05.723,00:21:24.200
00:21:24.200,00:22:07.576
00:22:07.576,00:22:16.585
00:22:16.585,00:22:48.576
00:22:48.576,00:22:58.544
00:22:58.544,00:23:20.608
00:23:20.608,00:23:24.612
00:23:24.612,00:24:01.523
00:24:01.523,00:24:16.205
00:24:16.205,00:24:50.280
00:24:50.280,00:24:55.744
00:24:55.744,00:25:10.718
00:25:10.718,00:25:18.517
00:25:18.517,00:25:24.064
00:25:24.064,00:25:25.691
00:25:25.691,00:25:38.328
00:25:38.328,00:25:40.664
00:25:40.664,00:25:42.458
00:25:42.458,00:25:48.338
00:25:48.338,00:25:52.050
00:25:52.050,00:25:56.638
00:25:56.638,00:26:01.810
00:26:01.810,00:26:07.441
00:26:07.441,00:26:10.444
00:26:10.444,00:26:15.991
00:26:15.991,00:26:19.077
00:26:19.077,00:26:21.455
00:26:21.455,00:26:22.331
00:26:22.331,00:26:24.541
00:26:24.541,00:26:28.879
00:26:28.879,00:26:30.506
00:26:30.506,00:26:46.522
00:26:46.522,00:26:48.065
00:26:48.065,00:26:52.653
00:26:52.653,00:27:02.830
00:27:02.830,00:27:05.874
00:27:05.874,00:27:06.917
00:27:06.917,00:27:07.876
00:27:07.876,00:27:09.586
00:27:09.586,00:27:11.088
00:27:11.088,00:27:12.089
00:27:12.089,00:27:15.050
00:27:15.050,00:27:16.134
00:27:16.134,00:27:17.928
00:27:17.928,00:27:21.890
00:27:21.890,00:27:25.394
00:27:25.394,00:27:31.400
00:27:31.400,00:27:33.277
00:27:33.277,00:27:35.279
00:27:35.279,00:27:36.405
00:27:36.405,00:27:37.406
00:27:37.406,00:27:38.365
00:27:38.365,00:27:39.867
00:27:39.867,00:27:42.369
00:27:42.369,00:27:45.789
00:27:45.789,00:27:47.040
00:27:47.040,00:27:50.419
00:27:50.419,00:27:53.797
00:27:53.797,00:27:55.716
00:27:55.716,00:27:57.426
00:27:57.426,00:27:59.177
00:27:59.177,00:27:59.970
00:27:59.970,00:28:03.056
00:28:03.056,00:28:04.892
00:28:04.892,00:28:06.059
